payee_id,payee_name,payee_legal_entity_id,payee_country,payee_category,payee_risk_score,payee_account_age_days
aefc6ef1-c4bb-4ace-d0c8-da67bec62bbe,Crest Payments,LEI-839919-CORP,KR,Education,0.0529,1419
a7c24c68-c1ff-9427-9477-d9d7d26580c0,Cymbal Corp,LEI-785864-CORP,SG,Gaming,0.099,1841
761e6287-d07c-5e53-b8f6-703b77ff3c31,Summit Capital,LEI-428282-LTD,US,Education,0.3163,3283
39b9c13a-56fe-972b-5acb-287dd5949c84,Pacific Enterprises,LEI-819074-PTYLTD,JP,Education,0.1424,2878
9a5e63f5-cc94-d15c-a13d-26009174f53b,Everest Group,LEI-314124-PTYLTD,US,Healthcare,0.4509,1532
8d8b4c60-acc5-4c62-1ab4-44a72be26bd1,Quasar Finance,LEI-966621-PLC,US,Gaming,0.0723,561
a8d99292-4a85-e443-3ba8-78d934b55b86,Stratos Industries,LEI-160244-SA,CA,Wholesale,0.787,175
4f4c3f0b-34a7-3f9d-ded5-c01721433dfc,Sterling Corp,LEI-266494-GMBH,GB,Food & Beverage,0.1885,1025
91b8ff07-e909-9654-5432-3b1c869e8836,Eagle Industries,LEI-585171-LLC,FR,Travel,0.1323,1191
e66414db-2df8-d4a8-3fc7-4cb86a40e5cc,Sterling Industries,LEI-503350-CORP,FR,Services,0.4248,897
7e5533ba-e8a2-f417-379e-03dde6f8dac3,Pacific Systems,LEI-486643-INC,JP,Food & Beverage,0.1543,3138
b1c9d0dc-a38c-c35f-12bc-f09006d6fba7,Sapphire Group,LEI-460351-PTYLTD,SG,Healthcare,0.1786,2073
ab987d93-53bd-8128-22f0-6403eac97d37,Sapphire Corp,LEI-583767-INC,US,Entertainment,0.5377,393
88df12c1-1fc8-628d-4b4d-10792d5f60d9,Everest Digital,LEI-181354-LLC,DE,Wholesale,0.4748,591
a2819fce-d624-f055-0c39-bd0eb25db530,Helix Group,LEI-823880-GMBH,US,Utilities,0.0564,1990
e8a44238-5fe8-b710-3fec-5325edc72f12,Solaris Payments,LEI-195825-LLC,US,Retail,0.9468,32
2afa5f6a-aa03-081b-d498-6a31d5dbcbee,Flux Finance,LEI-535872-INC,AU,Financial,0.1313,3444
5b48961f-1b1b-4cd7-36ba-49183b7f1998,Atlas Digital,LEI-115722-PTYLTD,DE,Retail,0.0938,674
37f39aac-e2ad-828b-113c-9f250b3f953a,Pacific Services,LEI-904829-PLC,KR,Services,0.1342,1691
a180f402-fb3e-127f-5308-e1f29990e4a9,Cascade Global,LEI-448176-CORP,DE,Education,0.3343,568
966456be-80e0-22c8-3b80-3c61bde78473,Cymbal Solutions,LEI-122243-INC,US,Education,0.1335,2803
a45ca94a-3452-98c4-6031-046126d3e222,Nova Solutions,LEI-860541-PLC,FR,Financial,0.1727,1007
c0241ac1-49d8-3188-d00d-cc4fa5e65ec4,Apex Solutions,LEI-988075-SA,US,Gaming,0.268,1879
713e9035-2efc-d60c-5256-cd59857f2f3e,Cymbal Capital,LEI-615524-INC,IN,Retail,0.0937,1742
3c7ed208-3451-cf94-ee8b-46d3cb946541,Vertex Enterprises,LEI-860206-PLC,US,Education,0.1376,3584
c8028d0e-dcc7-eb51-4598-ab17338f0430,Coral Capital,LEI-477048-PTYLTD,US,Technology,0.2062,2783
61a4b230-c30d-cc74-0512-56b87b64665c,Sterling Capital,LEI-895720-GMBH,GB,Wholesale,0.1581,3430
