payor_id,payor_name,payor_legal_entity_id,payor_country,payor_risk_score,payor_account_age_days
16419f82-8b9d-2434-e465-e150bd9c66b3,Sterling Finance,LEI-131244-INC,US,0.04,2861
cf36d58b-4737-8190-96da-1dac72ff5d2a,Cymbal Digital,LEI-832052-PTYLTD,US,0.0259,992
89463e85-759c-de66-bacf-b3d00b1f9163,Orbit Group,LEI-182627-GMBH,AU,0.0413,3395
a2bc372f-7412-b293-4729-4739614ff3d7,Meridian Digital,LEI-488162-SA,US,0.1886,503
a3d70628-ece6-6fa2-fd51-66e6451b4cf3,Vortex Holdings,LEI-983794-LLC,US,0.2001,1644
f16287e4-e9c3-49e0-3602-f8ac10f1bc81,Atlas Payments,LEI-787277-PLC,US,0.5946,167
e5d7b875-6dad-d6c7-95a7-6d79bf3c4c06,Everest Partners,LEI-329974-CORP,CA,0.2327,1166
cac5b68c-28f4-9481-a0a0-4dc427209bdf,Sterling Capital,LEI-503457-PTYLTD,GB,0.5141,86
5715bd6f-a416-1293-c4c2-e2e3444ea7c8,Orbit Services,LEI-555884-CORP,CA,0.1842,3165
9be578c7-81f6-31d4-a392-31a7d777a477,Lumen Global,LEI-492077-CORP,GB,0.1202,1312
20de435d-2031-d750-c40d-b9b4885f6e66,Coral Digital,LEI-377932-PTYLTD,MX,0.0482,3205
e64d1bcb-7027-53a1-5f98-7c71a65e688e,Titan Systems,LEI-359947-LTD,US,0.2748,2841
b535106e-122c-9a56-01d7-425638602ab6,Zenith Solutions,LEI-170674-LLC,SG,0.6662,331
b92da22b-21df-306f-8a0b-3c3336d8393a,Coral Solutions,LEI-922733-PLC,JP,0.5714,278
fbf24050-a748-dbcf-ac61-9e630dde29a6,Helix Finance,LEI-522179-SA,JP,0.0694,3076
134c6c92-ec5b-227c-dfde-4fbf3ff350bf,Titan Systems,LEI-153045-LLC,MX,0.1481,1984
43e458fc-63f2-ae24-fc3d-3348008d4127,Sapphire Services,LEI-543555-PLC,US,0.2115,1642
284d82e5-87f7-e1fb-da4b-d9caeb5cf467,Zenith Capital,LEI-992697-CORP,US,0.3624,2149
91d63f78-e3e9-de99-f10c-718b1eb0e38a,Solaris Finance,LEI-749468-INC,US,0.7585,236
abf3e3fc-2181-3d25-6552-38a643ff5011,Forge Industries,LEI-431535-INC,US,0.2724,1067
119c4ea3-e180-5081-5958-a499eeea163e,Solaris Partners,LEI-398830-CORP,US,0.2177,632
ee87905e-4ca4-15ea-8dfa-6a56d12dbc9a,Helix Global,LEI-377312-INC,BR,0.0964,2825
81627cf1-4394-72e6-da58-7e8aa25d6b29,Eagle Networks,LEI-987204-LLC,US,0.1169,2905
0279b6a6-8f97-97b0-6d7c-e3c9b4a69f3c,Orbit Capital,LEI-824586-CORP,GB,0.3971,2349
e61fecc0-0a36-8ce7-dc57-0131f8e1daa7,Pinnacle Payments,LEI-815198-LTD,DE,0.3324,3350
2dea9493-0658-663a-698c-206fe1a47e10,Summit Enterprises,LEI-941204-LTD,US,0.3049,815
3a43b2ba-df0f-06cb-cb9b-c326d20eac17,Vortex Pay,LEI-792094-LTD,US,0.0479,1340
54c63cd8-8945-6f27-d7fa-2d8dfb2ca025,Apex Systems,LEI-373903-CORP,GB,0.0614,2873
1d9af659-82ec-9f2d-fbf6-e16f9b3080d5,Cascade Payments,LEI-367095-LLC,FR,0.0438,1877
bdf070aa-f0b5-156b-b82c-9074afd5dea5,Lumen Partners,LEI-552248-INC,IN,0.9759,75
5380b904-688c-7015-aab9-7e494f2d4796,Everest Services,LEI-681343-CORP,US,0.356,2167
4dcabfb7-001a-9a8b-d56f-03508c459ce2,Beacon Payments,LEI-550770-SA,CA,0.2194,1753
83f4a9a9-48a6-39d0-15b5-2908a8aa7158,Summit Capital,LEI-958179-LTD,DE,0.0624,785
7e8f8095-624c-69b6-b244-45a7b7e58481,Everest Solutions,LEI-254739-LLC,BR,0.1248,886
8eb22579-0cdb-1ca4-76ec-bdd68498e113,Solaris Systems,LEI-578634-CORP,JP,0.5307,2940
be6033f7-28be-9288-e5af-6e39722764e6,Coral Industries,LEI-371782-LTD,AU,0.2448,2334
55fa1ab8-458f-1f19-3c07-c57449257af1,Atlas Capital,LEI-245095-CORP,US,0.4098,3012
95863a76-c511-55ff-e7a3-7e8163b4c08b,Apex Group,LEI-600149-LLC,IN,0.1803,1810
e5d6f6e6-9a6e-c2f5-ccc4-29038bcf53a1,Vortex Corp,LEI-330080-GMBH,US,0.1126,3099
77a6e17c-d72b-6108-2a40-5f12b963f37f,Pulse Pay,LEI-513160-LLC,US,0.6008,237
d4f8fd72-f382-1cfd-c083-b73a473bd358,Pacific Networks,LEI-975467-INC,CA,0.1253,1642
f319c125-07f1-94f9-c115-6d6d0a4e5b70,Solaris Payments,LEI-979995-LLC,GB,0.0606,2759
b7e6427c-bf78-0e3f-f6b7-51f79b749245,Orbit Digital,LEI-426147-INC,GB,0.2364,2571
d4a057a7-b0cc-1b3b-9793-b9b413748146,Solaris Systems,LEI-831059-GMBH,AU,0.2538,902
8186a576-11a7-2609-5edd-bbbfa9597663,Summit Pay,LEI-990844-PTYLTD,AU,0.0541,1844
eb6c1016-cee6-24d0-9dac-6e8345241ea6,Coral Industries,LEI-556732-GMBH,US,0.3991,2754
533420e6-d9d8-0b8d-7e8a-dee70758e201,Quasar Corp,LEI-322423-SA,JP,0.1718,1467
680bac63-b856-d035-3dc9-829015eabb27,Eagle Solutions,LEI-824156-PLC,DE,0.5036,872
6cedd15d-5800-7c02-87ea-7ff58db06746,Summit Partners,LEI-836996-PLC,US,0.1301,2028
3764fbda-3108-d448-2f65-fafab0ae8f08,Coral Networks,LEI-859782-GMBH,KR,0.1174,3211
0df56ac6-f96b-648a-0ba6-eab94639447b,Beacon Global,LEI-768854-PLC,US,0.1584,608
f72ada9b-2f32-751e-5738-811d70c2903f,Zenith Networks,LEI-600935-INC,AU,0.854,68
fe716b14-15ce-6a66-4dc8-2a1ef2f9e5fa,Solaris Systems,LEI-685181-PTYLTD,GB,0.1088,2395
4e2d6645-6dc7-cac7-fd72-b05096a9954f,Zenith Systems,LEI-899787-LTD,GB,0.1144,3613
784c2f29-9804-02a2-b07a-a066735435ea,Beacon Finance,LEI-342720-GMBH,FR,0.0551,1763
ef04e57d-cdcc-c33a-a943-4aa096fc734d,Lumen Enterprises,LEI-220351-LTD,DE,0.1055,2650
b04d3376-77fc-9703-1fd5-a423706c5c56,Forge Group,LEI-385470-PLC,US,0.0691,1272
dc4ad56b-d601-6237-ac9e-d156f63fce41,Apex Networks,LEI-704238-LLC,JP,0.4277,1027
f8140102-7de1-bdfe-d072-5b5ca2814044,Vertex Corp,LEI-464863-PTYLTD,US,0.2504,1875
50843242-168b-1625-746f-78910964fbbf,Nimbus Holdings,LEI-221552-PTYLTD,SG,0.1612,2343
7f9d3e64-c1a6-423b-9f64-eeed5c9d927d,Titan Finance,LEI-313446-GMBH,GB,0.0052,2213
288b78b5-b5b4-53ca-3d42-993ccc9fd334,Forge Pay,LEI-679077-PTYLTD,US,0.2652,2583
d5b077e0-6a5d-932b-45ff-2c83b495db4e,Coral Corp,LEI-355570-PLC,GB,0.0725,2174
81fb18b3-c9a7-d91f-ef2a-e71357021049,Crest Pay,LEI-396578-GMBH,AU,0.5023,1789
6090d697-8b1e-3b9d-c34b-9fbb8d4a75b8,Sapphire Holdings,LEI-297816-LTD,GB,0.2793,1451
fb16e5db-a6ea-b79e-d21c-82f8cada4f80,Prism Corp,LEI-138817-CORP,CA,0.2414,2808
68f45bce-24e7-5e8e-b8f2-142303edd1f8,Prism Capital,LEI-592296-GMBH,US,0.4432,1961
b7fddd71-a075-e927-5110-b492f4427e0b,Eagle Finance,LEI-747453-INC,US,0.1851,1646
19bad7ae-df61-5a5c-b432-3070a23d4c2f,Titan Digital,LEI-827712-GMBH,BR,0.2117,3204
25440fe0-6e41-7d47-5ff5-95ea5bc440f1,Solaris Enterprises,LEI-693418-CORP,US,0.7388,180
e9af299d-7f67-1eec-3da7-0577aee1e86b,Prism Solutions,LEI-583550-GMBH,CA,0.7613,347
6c9f82b9-f647-8986-a391-7c994c955f6a,Nimbus Industries,LEI-986365-GMBH,US,0.2215,2496
d47d577b-fa5a-91ca-059d-d55d4b943e30,Everest Networks,LEI-108491-LLC,BR,0.1824,2954
30ac7d7b-a2f9-63a3-3810-ae665a31b4cc,Nimbus Global,LEI-758765-INC,BR,0.3144,3374
bf5ae7e6-53a3-dd5a-4b8c-5bdce8dd5e5a,Pacific Digital,LEI-310548-CORP,JP,0.1263,459
ce7607ad-f7a6-7b94-7b5a-611af1b64afe,Beacon Holdings,LEI-943298-INC,CA,0.1899,3467
aca5e2fd-b966-442a-ad23-8d36dc322c97,Everest Partners,LEI-194689-PTYLTD,US,0.7262,145
1bbc91f7-5f18-e583-f0b6-f83fa377f6f1,Vortex Corp,LEI-126240-SA,BR,0.1575,3458
1dba1267-7e1c-a5a1-fef5-18a64dead645,Helix Solutions,LEI-663658-CORP,US,0.0548,242
9d9b6231-7d45-d8ef-d56c-e8ea19597b5a,Pacific Networks,LEI-134305-SA,US,0.1757,2772
f7dc67e0-3097-4b2b-46a0-2a9b65ec7acd,Orbit Industries,LEI-196126-LTD,DE,0.0668,338
c3e15a85-d46e-f104-1190-6f5034885a46,Aether Payments,LEI-952547-LTD,US,0.0355,2402
ca3c6f5f-5bb5-c40c-03cd-e2e321bddb41,Solaris Holdings,LEI-116547-CORP,US,0.1108,195
73b6a09b-1bea-f6ac-97fa-7f0483639007,Vortex Finance,LEI-862569-GMBH,CA,0.2941,1572
12d0498d-718d-4d05-e8e2-2743b65feea9,Vertex Holdings,LEI-737846-CORP,US,0.054,2098
9afd4015-816b-cb9f-7426-b1934b7e6b3c,Sterling Systems,LEI-931621-INC,AU,0.2926,2263
74188109-d3d1-bf0f-56c4-38e469efafb1,Everest Enterprises,LEI-865054-INC,US,0.4115,1025
6e8f75a1-17dd-ed81-15da-705cd4ef00aa,Helix Partners,LEI-951201-CORP,GB,0.099,463
de3b496f-6c45-96f6-c012-a0fff0ede303,Zenith Services,LEI-729575-GMBH,US,0.3242,2815
c33a1f6c-1d69-1fba-5e18-7b248e676a01,Crest Solutions,LEI-946432-PTYLTD,AU,0.1393,3552
076979d6-4477-7442-b187-53e6d4578ad9,Quasar Networks,LEI-836833-GMBH,IN,0.3388,2784
177d6e7e-07d9-24ce-f8c8-8faea2178f84,Aether Group,LEI-540226-PLC,US,0.0813,3125
9e2aa4ac-c122-b5b3-284c-03d227d415b6,Zenith Capital,LEI-385320-PLC,DE,0.2877,305
adb14670-ad9f-b00d-4882-d73c1c6345ab,Eagle Services,LEI-147623-LTD,US,0.1405,1850
01fa964e-1eb7-4b56-53ff-d3a24a193501,Eagle Enterprises,LEI-284229-CORP,US,0.0208,1136
92ca525a-6de5-9332-9364-f3d05024bdc6,Everest Enterprises,LEI-403578-INC,US,0.4101,3621
